model,dataset,label,baseline_auc,sisa_auc,delta_auc,baseline_logloss,sisa_logloss,delta_logloss
UltraHSTU,QK_Video_Action,follow,0.921606,0.919087,-0.002519000000000049,0.004938,0.004971,3.300000000000004e-05
UltraHSTU,QK_Video_Action,like,0.94969,0.949437,-0.00025300000000005873,0.036024,0.036209,0.00018499999999999767
UltraHSTU,QK_Video_Action,share,0.936002,0.934377,-0.0016249999999999876,0.005259,0.0053,4.100000000000024e-05
UltraHSTU,KuaiRand_Video_Action,is_click,0.765052,0.792992,0.027940000000000076,0.596708,0.542822,-0.05388599999999999
UltraHSTU,KuaiRand_Video_Action,is_comment,0.894262,0.895917,0.001654999999999962,0.014814,0.014761,-5.300000000000096e-05
UltraHSTU,KuaiRand_Video_Action,is_follow,0.874827,0.880072,0.005244999999999944,0.006195,0.00615,-4.49999999999999e-05
UltraHSTU,KuaiRand_Video_Action,is_forward,0.865946,0.873586,0.00763999999999998,0.005659,0.005625,-3.4000000000000176e-05
UltraHSTU,KuaiRand_Video_Action,is_like,0.923156,0.926349,0.0031930000000000014,0.054039,0.053847,-0.00019199999999999773
UltraHSTU,KuaiRand_Video_Action,long_view,0.792441,0.813989,0.02154800000000001,0.479429,0.444964,-0.03446499999999997
UltraHSTU,TencentGR_10M_Action,is_click,0.845543,0.843706,-0.0018370000000000886,0.057459,0.0577,0.00024099999999999816
UltraHSTU,TencentGR_10M_Action,is_conversion,0.89312,0.891606,-0.0015140000000000153,0.019419,0.01983,0.00041100000000000164
UltraHSTU,Taobao_Action,buy,0.854761,0.856786,0.0020250000000000545,0.006094,0.006139,4.500000000000077e-05
UltraHSTU,Taobao_Action,cart,0.831735,0.834827,0.0030919999999999837,0.017644,0.018055,0.00041100000000000164
UltraHSTU,Taobao_Action,fav,0.85337,0.858017,0.004647000000000068,0.013282,0.013156,-0.0001260000000000011
UltraHSTU,Taobao_Action,is_click,0.636081,0.636907,0.0008259999999999934,0.186999,0.18703,3.100000000000325e-05
UltraHSTU,MerRec_Action,Cart,0.796562,0.811238,0.014676000000000022,0.053754,0.052496,-0.0012580000000000022
UltraHSTU,MerRec_Action,Checkout,0.848994,0.858484,0.009489999999999998,0.005819,0.005441,-0.00037800000000000073
UltraHSTU,MerRec_Action,Like,0.734116,0.7502,0.016083999999999987,0.338686,0.328136,-0.010550000000000004
UltraHSTU,MerRec_Action,Offer,0.758009,0.769176,0.011166999999999927,0.02121,0.021059,-0.00015099999999999836
UltraHSTU,MerRec_Action,Purchase,0.84876,0.860975,0.012215000000000087,0.003688,0.003608,-7.999999999999978e-05
