model,cells,labels,unit_macro_delta_auc,positive_auc_cells,label_weighted_delta_auc,unit_macro_delta_logloss,lower_logloss_cells
HiFormer,4,17,-0.001974987499999998,0,-0.0022192352941176443,0.0012739250000000034,1
HyFormer,4,17,-0.00044106666666667813,1,0.000708235294117637,4.962499999999905e-05,3
RankMixer,4,17,1.0220833333347335e-05,3,-0.0003253529411764678,-0.0004607791666666662,4
Zenith,4,17,-0.003659295833333342,1,-0.0026542941176470733,0.001569,1
