model,dataset,label,legacy_source,paper_auc,baseline_auc,baseline_delta_auc_vs_paper,sisa_mean_auc,sisa_std_auc,sisa_min_auc,sisa_max_auc,sisa_range_auc,sisa_mean_delta_auc_vs_baseline,sisa_mean_delta_auc_vs_paper,auc_mean_beats_baseline,auc_mean_beats_paper,auc_all_seeds_beat_baseline,auc_all_seeds_beat_paper,paper_logloss,baseline_logloss,baseline_delta_logloss_vs_paper,sisa_mean_logloss,sisa_std_logloss,sisa_min_logloss,sisa_max_logloss,sisa_range_logloss,sisa_mean_delta_logloss_vs_baseline,sisa_mean_delta_logloss_vs_paper,logloss_mean_beats_baseline,logloss_mean_beats_paper,logloss_all_seeds_beat_baseline,logloss_all_seeds_beat_paper,sisa_20262027_auc,sisa_20262027_logloss,sisa_20262028_auc,sisa_20262028_logloss,sisa_20262029_auc,sisa_20262029_logloss
RankMixer,TencentGR_10M_Action,is_conversion,sisa_expansion_acd,0.8683,0.873967,0.005667000000000089,0.8779879999999999,0.004307616626395624,0.874172,0.882659,0.008487000000000022,0.00402099999999983,0.009687999999999919,True,True,True,True,0.0216,0.023279,0.001679,0.024752,0.002516930471824759,0.022015,0.026967,0.0049520000000000015,0.0014729999999999986,0.0031519999999999986,False,False,False,False,0.882659,0.022015,0.874172,0.026967,0.877133,0.025274
Zenith,KuaiRand_Video_Action,is_click,sisa_native_strict,0.7816,0.781888,0.000288000000000066,0.7887333333333334,0.0035834210376863526,0.785892,0.792759,0.0068669999999999565,0.00684533333333337,0.007133333333333436,True,True,True,True,0.5389,0.538991,9.099999999995223e-05,0.5344596666666667,0.00583399428636446,0.527799,0.538663,0.010863999999999985,-0.004531333333333332,-0.004440333333333379,True,True,True,True,0.792759,0.527799,0.787549,0.536917,0.785892,0.538663
Zenith,KuaiRand_Video_Action,is_comment,sisa_native_strict,0.8994,0.897885,-0.001514999999999933,0.8975983333333334,0.0031973029780321127,0.895144,0.901214,0.006069999999999909,-0.0002866666666666573,-0.0018016666666665904,False,False,False,False,0.0147,0.014788,8.800000000000127e-05,0.014726999999999999,0.0001101090368680061,0.014609,0.014827,0.00021799999999999944,-6.1000000000002025e-05,2.6999999999999247e-05,True,False,False,False,0.901214,0.014609,0.896437,0.014745,0.895144,0.014827
Zenith,KuaiRand_Video_Action,is_follow,sisa_native_strict,0.8844,0.881683,-0.0027169999999999694,0.88842,0.002657688469328189,0.885366,0.890208,0.004842000000000013,0.006736999999999993,0.0040200000000000236,True,True,True,True,0.0065,0.006761,0.00026099999999999995,0.006192,5.164300533470122e-05,0.006155,0.006251,9.599999999999973e-05,-0.0005690000000000001,-0.0003080000000000001,True,True,True,True,0.890208,0.006251,0.885366,0.006155,0.889686,0.00617
Zenith,KuaiRand_Video_Action,is_forward,sisa_native_strict,0.8704,0.871088,0.0006880000000000219,0.8721136666666668,0.0026411607927829036,0.869064,0.873658,0.004594000000000098,0.0010256666666668135,0.0017136666666668354,True,True,False,False,0.0056,0.005649,4.900000000000043e-05,0.005615666666666667,4.952103929981008e-05,0.005579,0.005672,9.30000000000002e-05,-3.333333333333313e-05,1.56666666666673e-05,True,False,False,False,0.873619,0.005596,0.869064,0.005672,0.873658,0.005579
Zenith,KuaiRand_Video_Action,is_like,sisa_native_strict,0.9294,0.928141,-0.0012590000000000101,0.927794,0.0023831886203152246,0.925888,0.930466,0.004577999999999971,-0.0003469999999999862,-0.0016059999999999963,False,False,False,False,0.0537,0.054321,0.0006210000000000035,0.05457733333333333,0.0011736483005284578,0.053227,0.055352,0.002125000000000002,0.00025633333333333064,0.0008773333333333341,False,False,False,False,0.930466,0.053227,0.925888,0.055153,0.927028,0.055352
Zenith,KuaiRand_Video_Action,long_view,sisa_native_strict,0.7981,0.79729,-0.0008099999999999774,0.8043269999999999,0.005162964942743657,0.800178,0.810109,0.009931000000000023,0.007036999999999849,0.0062269999999998715,True,True,True,True,0.4582,0.459923,0.00172300000000003,0.454895,0.00886274427025851,0.445069,0.462285,0.01721600000000001,-0.0050280000000000324,-0.0033050000000000024,True,True,False,False,0.810109,0.445069,0.802694,0.457331,0.800178,0.462285
Zenith,MerRec_Action,Cart,sisa_native_strict,0.8019,0.806908,0.0050080000000000124,0.8145986666666666,0.0020684018790683117,0.812453,0.81658,0.004126999999999992,0.0076906666666666235,0.012698666666666636,True,True,True,True,0.0546,0.053756,-0.0008440000000000045,0.05284133333333333,0.0006581620874323719,0.05211,0.053386,0.0012760000000000063,-0.0009146666666666678,-0.0017586666666666723,True,True,True,True,0.814763,0.053028,0.81658,0.05211,0.812453,0.053386
Zenith,MerRec_Action,Checkout,sisa_native_strict,0.8503,0.852295,0.00199500000000008,0.847856,0.004757403913900919,0.843908,0.853138,0.00922999999999996,-0.004438999999999971,-0.0024439999999998907,False,False,False,False,0.0127,0.010226,-0.0024739999999999988,0.011200666666666666,0.0009258381788052021,0.010215,0.012052,0.001837,0.0009746666666666653,-0.0014993333333333334,False,True,False,True,0.853138,0.010215,0.846522,0.011335,0.843908,0.012052
Zenith,MerRec_Action,Like,sisa_native_strict,0.743,0.744505,0.0015049999999999786,0.7574299999999999,0.0023423874572751297,0.754835,0.759388,0.004552999999999918,0.012924999999999964,0.014429999999999943,True,True,True,True,0.3306,0.329855,-0.0007449999999999957,0.324594,0.00137300109249773,0.323222,0.325968,0.0027459999999999707,-0.005261000000000016,-0.006006000000000011,True,True,True,True,0.759388,0.323222,0.758067,0.324592,0.754835,0.325968
Zenith,MerRec_Action,Offer,sisa_native_strict,0.7712,0.773288,0.0020879999999999788,0.7689349999999999,0.005603127430283951,0.764756,0.775302,0.010546000000000055,-0.004353000000000051,-0.0022650000000000725,False,False,False,False,0.0221,0.022102,1.9999999999985307e-06,0.022235333333333333,0.000568790236671951,0.021595,0.022682,0.0010870000000000012,0.00013333333333333253,0.00013533333333333106,False,False,False,False,0.766747,0.022682,0.775302,0.021595,0.764756,0.022429
Zenith,MerRec_Action,Purchase,sisa_native_strict,0.8495,0.853223,0.003722999999999921,0.8480466666666667,0.006256819825864709,0.840841,0.852104,0.011263000000000023,-0.005176333333333227,-0.0014533333333333065,False,False,False,False,0.0086,0.006772,-0.0018279999999999998,0.007499666666666666,0.0006360914504482305,0.00688,0.008151,0.0012710000000000004,0.0007276666666666655,-0.0011003333333333342,False,True,False,True,0.852104,0.00688,0.851195,0.008151,0.840841,0.007468
Zenith,QK_Video_Action,click,sisa_native_strict,0.9334,0.933477,7.699999999999374e-05,0.9345093333333333,0.00021175772319643814,0.934288,0.93471,0.00042200000000003346,0.0010323333333333018,0.0011093333333332955,True,True,True,True,0.2521,0.252005,-9.500000000001174e-05,0.25013066666666667,0.0003349646747544189,0.249782,0.25045,0.0006680000000000019,-0.0018743333333333112,-0.001969333333333323,True,True,True,True,0.93471,0.249782,0.934288,0.25045,0.93453,0.25016
Zenith,QK_Video_Action,follow,sisa_native_strict,0.9222,0.922279,7.899999999994023e-05,0.922591,0.0007962242146531501,0.921674,0.923107,0.0014330000000000176,0.00031200000000009,0.0003910000000000302,True,True,False,False,0.005,0.005022,2.2000000000000318e-05,0.004972666666666667,2.8378395538390142e-05,0.004942,0.004998,5.5999999999999626e-05,-4.933333333333352e-05,-2.7333333333333203e-05,True,True,True,True,0.923107,0.004978,0.922992,0.004942,0.921674,0.004998
Zenith,QK_Video_Action,like,sisa_native_strict,0.948,0.947958,-4.199999999998649e-05,0.9479656666666667,0.0005869023200953603,0.947288,0.94831,0.0010219999999999674,7.666666666739097e-06,-3.4333333333247396e-05,True,False,False,False,0.0373,0.037439,0.00013900000000000023,0.03697433333333333,0.00012343959386409753,0.036833,0.037061,0.00022799999999999904,-0.0004646666666666688,-0.00032566666666666855,True,True,True,True,0.948299,0.037061,0.94831,0.036833,0.947288,0.037029
Zenith,QK_Video_Action,share,sisa_native_strict,0.9358,0.935961,0.00016100000000007775,0.9361396666666666,0.0007365082031677014,0.935292,0.936623,0.001330999999999971,0.0001786666666665493,0.00033966666666662704,True,True,False,False,0.0053,0.005276,-2.3999999999999716e-05,0.005298333333333333,3.089228598426055e-05,0.005265,0.005326,6.100000000000029e-05,2.233333333333254e-05,-1.666666666667177e-06,False,True,False,False,0.936504,0.005265,0.935292,0.005326,0.936623,0.005304
Zenith,TencentGR_10M_Action,is_click,sisa_expansion_acd,0.8236,0.819024,-0.0045760000000000245,0.8367796666666667,0.004275923564954533,0.831846,0.839413,0.00756699999999999,0.017755666666666725,0.0131796666666667,True,True,True,True,0.0583,0.059201,0.000900999999999999,0.057570666666666666,0.004710746154627026,0.054814,0.06301,0.008195999999999995,-0.0016303333333333309,-0.0007293333333333318,True,True,False,False,0.831846,0.054814,0.839413,0.054888,0.83908,0.06301
Zenith,TencentGR_10M_Action,is_conversion,sisa_expansion_acd,0.8627,0.859953,-0.002747000000000055,0.874902,0.011600371890590393,0.866268,0.888088,0.02181999999999995,0.01494899999999999,0.012201999999999935,True,True,True,True,0.0198,0.020371,0.0005709999999999986,0.020591333333333333,0.001558287628563267,0.018845,0.02184,0.0029949999999999977,0.0002203333333333328,0.0007913333333333314,False,False,False,False,0.866268,0.018845,0.888088,0.021089,0.87035,0.02184
