dataset,cells,labels,cell_macro_paper_auc,cell_macro_baseline_auc,cell_macro_sisa_auc,cell_macro_delta_auc_vs_baseline,cell_macro_delta_auc_vs_paper,positive_auc_cells_vs_baseline,positive_auc_cells_vs_paper,median_seed_std_auc,max_seed_range_auc,cell_macro_paper_logloss,cell_macro_baseline_logloss,cell_macro_sisa_logloss,cell_macro_delta_logloss_vs_baseline,cell_macro_delta_logloss_vs_paper,lower_logloss_cells_vs_baseline,lower_logloss_cells_vs_paper
QK_Video_Action,4,16,0.9316875,0.9318079375,0.9317159375,-9.199999999998099e-05,2.8437499999978133e-05,3,3,0.00027464903932996075,0.001023250000000031,0.075275,0.0752801875,0.075,-0.00028018749999999745,-0.000274999999999994,3,3
KuaiRand_Video_Action,4,24,0.8572541666666667,0.8569275833333334,0.8627976111111111,0.005870027777777731,0.005543444444444462,4,4,0.0014426839383542697,0.005229499999999998,0.1796625,0.17999541666666666,0.17624681944444445,-0.0037485972222222053,-0.0034156805555555503,4,4
TencentGR_10M_Action,4,8,0.846,0.8477058749999999,0.8610819166666666,0.013376041666666616,0.015081916666666612,4,4,0.004847201533183949,0.014693500000000026,0.0331625,0.037299,0.03696566666666667,-0.00033333333333333565,0.0038031666666666674,3,1
MerRec_Action,4,20,0.79727,0.7973768,0.8038824333333333,0.006505633333333316,0.006612433333333306,4,4,0.0033948293446507726,0.006985999999999826,0.084395,0.08415589999999999,0.08246751666666666,-0.0016883833333333313,-0.0019274833333333338,4,4
