model,cells,labels,cell_macro_paper_auc,cell_macro_baseline_auc,cell_macro_sisa_auc,cell_macro_delta_auc_vs_baseline,cell_macro_delta_auc_vs_paper,positive_auc_cells_vs_baseline,positive_auc_cells_vs_paper,median_seed_std_auc,max_seed_range_auc,cell_macro_paper_logloss,cell_macro_baseline_logloss,cell_macro_sisa_logloss,cell_macro_delta_logloss_vs_baseline,cell_macro_delta_logloss_vs_paper,lower_logloss_cells_vs_baseline,lower_logloss_cells_vs_paper
HiFormer,4,17,0.86175375,0.8619941791666667,0.8671507152777778,0.00515653611111111,0.005396965277777777,3,3,0.0016894840503619024,0.006985999999999826,0.09163166666666667,0.093339225,0.09147255138888889,-0.0018666736111111063,-0.00015911527777777348,3,2
HyFormer,4,17,0.85804875,0.8581017166666667,0.866589111111111,0.008487394444444407,0.008540361111111033,4,4,0.0021912563936709525,0.011972500000000053,0.09362791666666667,0.09341932083333333,0.09152621111111112,-0.0018931097222222096,-0.0021017055555555553,4,4
RankMixer,4,17,0.8519766666666666,0.8536939125,0.8603180958333333,0.006624183333333283,0.008341429166666636,4,4,0.002470489116099174,0.007284000000000068,0.09241166666666666,0.09513799166666667,0.0938036625,-0.0013343291666666635,0.0013919958333333416,3,3
Zenith,4,17,0.8604324999999999,0.8600283875,0.8654199763888889,0.005391588888888882,0.004987476388888912,4,4,0.003152330021219404,0.014693500000000026,0.09482375,0.09483396666666666,0.09387757777777778,-0.0009563888888888903,-0.0009461722222222236,4,3
