model,cells,labels,unit_macro_delta_auc,positive_auc_cells,label_weighted_delta_auc,unit_macro_delta_logloss,lower_logloss_cells
HiFormer,4,17,0.0033453541666666918,3,0.003376352941176487,3.4258333333330023e-05,2
HyFormer,4,17,0.0012151500000000277,2,-0.0007995882352940961,0.0007824416666666647,1
RankMixer,4,17,-0.0004178291666666671,2,0.0008851176470588254,0.0018047208333333339,1
Zenith,4,17,0.002333675000000009,2,-0.00012952941176468848,0.0013825291666666637,0
