dataset,cells,labels,unit_macro_delta_auc,positive_auc_cells,label_weighted_delta_auc,unit_macro_delta_logloss,lower_logloss_cells
QK_Video_Action,4,16,-0.00039174999999998933,1,-0.00039174999999998933,0.0004488750000000052,0
KuaiRand_Video_Action,4,24,-0.0010279999999999966,2,-0.0010279999999999966,0.0010144999999999902,2
TencentGR_10M_Action,4,8,0.005861000000000019,3,0.005861000000000019,0.0022591249999999994,1
MerRec_Action,4,20,0.002035100000000029,3,0.0020351000000000284,0.00028144999999999744,1
