task_id,model,dataset,setting,gpu_type,job_task_id,label,logloss,AUC
14,HiFormer,MerRec_Action,baseline,rtx4090,14810_14,Purchase,0.008751,0.835563
15,HiFormer,MerRec_Action,sisa,rtx4090,14810_15,Like,0.3216,0.764396
15,HiFormer,MerRec_Action,sisa,rtx4090,14810_15,Cart,0.052204,0.813548
15,HiFormer,MerRec_Action,sisa,rtx4090,14810_15,Offer,0.023437,0.761824
15,HiFormer,MerRec_Action,sisa,rtx4090,14810_15,Checkout,0.011611,0.838614
15,HiFormer,MerRec_Action,sisa,rtx4090,14810_15,Purchase,0.008159,0.83307
16,RankMixer,QK_Video_Action,baseline,rtx4090,14810_16,click,0.254815,0.931713
16,RankMixer,QK_Video_Action,baseline,rtx4090,14810_16,follow,0.005177,0.910614
16,RankMixer,QK_Video_Action,baseline,rtx4090,14810_16,like,0.037417,0.944118
16,RankMixer,QK_Video_Action,baseline,rtx4090,14810_16,share,0.005411,0.929184
17,RankMixer,QK_Video_Action,sisa,rtx4090,14810_17,click,0.252233,0.9333
17,RankMixer,QK_Video_Action,sisa,rtx4090,14810_17,follow,0.005163,0.911848
17,RankMixer,QK_Video_Action,sisa,rtx4090,14810_17,like,0.036966,0.945435
17,RankMixer,QK_Video_Action,sisa,rtx4090,14810_17,share,0.005404,0.929971
18,RankMixer,KuaiRand_Video_Action,baseline,l40s,14811_18,is_click,0.541045,0.780693
18,RankMixer,KuaiRand_Video_Action,baseline,l40s,14811_18,is_follow,0.006422,0.873795
18,RankMixer,KuaiRand_Video_Action,baseline,l40s,14811_18,is_like,0.055584,0.923963
18,RankMixer,KuaiRand_Video_Action,baseline,l40s,14811_18,is_comment,0.015211,0.884469
18,RankMixer,KuaiRand_Video_Action,baseline,l40s,14811_18,is_forward,0.005811,0.851098
18,RankMixer,KuaiRand_Video_Action,baseline,l40s,14811_18,long_view,0.453588,0.800238
19,RankMixer,KuaiRand_Video_Action,sisa,l40s,14811_19,is_click,0.525008,0.794759
19,RankMixer,KuaiRand_Video_Action,sisa,l40s,14811_19,is_follow,0.006296,0.880471
19,RankMixer,KuaiRand_Video_Action,sisa,l40s,14811_19,is_like,0.053812,0.927324
19,RankMixer,KuaiRand_Video_Action,sisa,l40s,14811_19,is_comment,0.014913,0.891848
19,RankMixer,KuaiRand_Video_Action,sisa,l40s,14811_19,is_forward,0.005742,0.860017
19,RankMixer,KuaiRand_Video_Action,sisa,l40s,14811_19,long_view,0.44283,0.81142
20,RankMixer,Taobao_Action,baseline,rtx4090,14810_20,is_click,0.188673,0.604445
