task_id,model,dataset,setting,gpu_type,job_task_id,state,exit_code,status_evidence,protocol_valid,completion_marker,finite_metrics,error_count,complete,slurm_log,checkpoint_log,metrics_json
10,HiFormer,KuaiRand_Video_Action,baseline,l40s,14850_10,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14850_10.out,checkpoints/KuaiRand_Video_Action/SISA_strict_HiFormer_KuaiRand_Video_Action_baseline_seed20262027.log,"{""is_click"": {""AUC"": 0.777662, ""logloss"": 0.541932}, ""is_comment"": {""AUC"": 0.898789, ""logloss"": 0.014709}, ""is_follow"": {""AUC"": 0.879913, ""logloss"": 0.006364}, ""is_forward"": {""AUC"": 0.87092, ""logloss"": 0.005684}, ""is_like"": {""AUC"": 0.928496, ""logloss"": 0.053637}, ""long_view"": {""AUC"": 0.79511, ""logloss"": 0.460971}}"
11,HiFormer,KuaiRand_Video_Action,sisa,l40s,14850_11,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14850_11.out,checkpoints/KuaiRand_Video_Action/SISA_strict_HiFormer_KuaiRand_Video_Action_sisa_seed20262027.log,"{""is_click"": {""AUC"": 0.797238, ""logloss"": 0.521549}, ""is_comment"": {""AUC"": 0.895209, ""logloss"": 0.014806}, ""is_follow"": {""AUC"": 0.881796, ""logloss"": 0.00618}, ""is_forward"": {""AUC"": 0.86945, ""logloss"": 0.005692}, ""is_like"": {""AUC"": 0.925869, ""logloss"": 0.054294}, ""long_view"": {""AUC"": 0.803433, ""logloss"": 0.461809}}"
12,HiFormer,Taobao_Action,baseline,l40s,14811_12,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_12.out,checkpoints/Taobao_Action/SISA_strict_HiFormer_Taobao_Action_baseline_seed20262027.log,"{""buy"": {""AUC"": 0.847202, ""logloss"": 0.006887}, ""cart"": {""AUC"": 0.82583, ""logloss"": 0.018146}, ""fav"": {""AUC"": 0.853523, ""logloss"": 0.013816}, ""is_click"": {""AUC"": 0.645062, ""logloss"": 0.186264}}"
13,HiFormer,Taobao_Action,sisa,l40s,14811_13,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_13.out,checkpoints/Taobao_Action/SISA_strict_HiFormer_Taobao_Action_sisa_seed20262027.log,"{""buy"": {""AUC"": 0.807079, ""logloss"": 0.006962}, ""cart"": {""AUC"": 0.813815, ""logloss"": 0.018067}, ""fav"": {""AUC"": 0.825288, ""logloss"": 0.014294}, ""is_click"": {""AUC"": 0.624768, ""logloss"": 0.187433}}"
14,HiFormer,MerRec_Action,baseline,rtx4090,14810_14,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14810_14.out,checkpoints/MerRec_Action/SISA_strict_HiFormer_MerRec_Action_baseline_seed20262027.log,"{""Cart"": {""AUC"": 0.810019, ""logloss"": 0.053089}, ""Checkout"": {""AUC"": 0.834515, ""logloss"": 0.012448}, ""Like"": {""AUC"": 0.74961, ""logloss"": 0.328501}, ""Offer"": {""AUC"": 0.775777, ""logloss"": 0.023378}, ""Purchase"": {""AUC"": 0.835563, ""logloss"": 0.008751}}"
15,HiFormer,MerRec_Action,sisa,rtx4090,14810_15,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14810_15.out,checkpoints/MerRec_Action/SISA_strict_HiFormer_MerRec_Action_sisa_seed20262027.log,"{""Cart"": {""AUC"": 0.813548, ""logloss"": 0.052204}, ""Checkout"": {""AUC"": 0.838614, ""logloss"": 0.011611}, ""Like"": {""AUC"": 0.764396, ""logloss"": 0.3216}, ""Offer"": {""AUC"": 0.761824, ""logloss"": 0.023437}, ""Purchase"": {""AUC"": 0.83307, ""logloss"": 0.008159}}"
16,RankMixer,QK_Video_Action,baseline,rtx4090,14810_16,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14810_16.out,checkpoints/QK_Video_Action/SISA_strict_RankMixer_QK_Video_Action_baseline_seed20262027.log,"{""click"": {""AUC"": 0.931713, ""logloss"": 0.254815}, ""follow"": {""AUC"": 0.910614, ""logloss"": 0.005177}, ""like"": {""AUC"": 0.944118, ""logloss"": 0.037417}, ""share"": {""AUC"": 0.929184, ""logloss"": 0.005411}}"
17,RankMixer,QK_Video_Action,sisa,rtx4090,14810_17,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14810_17.out,checkpoints/QK_Video_Action/SISA_strict_RankMixer_QK_Video_Action_sisa_seed20262027.log,"{""click"": {""AUC"": 0.9333, ""logloss"": 0.252233}, ""follow"": {""AUC"": 0.911848, ""logloss"": 0.005163}, ""like"": {""AUC"": 0.945435, ""logloss"": 0.036966}, ""share"": {""AUC"": 0.929971, ""logloss"": 0.005404}}"
18,RankMixer,KuaiRand_Video_Action,baseline,l40s,14811_18,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_18.out,checkpoints/KuaiRand_Video_Action/SISA_strict_RankMixer_KuaiRand_Video_Action_baseline_seed20262027.log,"{""is_click"": {""AUC"": 0.780693, ""logloss"": 0.541045}, ""is_comment"": {""AUC"": 0.884469, ""logloss"": 0.015211}, ""is_follow"": {""AUC"": 0.873795, ""logloss"": 0.006422}, ""is_forward"": {""AUC"": 0.851098, ""logloss"": 0.005811}, ""is_like"": {""AUC"": 0.923963, ""logloss"": 0.055584}, ""long_view"": {""AUC"": 0.800238, ""logloss"": 0.453588}}"
19,RankMixer,KuaiRand_Video_Action,sisa,l40s,14811_19,COMPLETED_MARKER,0:0 (success marker),success_marker,True,True,True,0,True,logs/unirank-sisa-strict-14811_19.out,checkpoints/KuaiRand_Video_Action/SISA_strict_RankMixer_KuaiRand_Video_Action_sisa_seed20262027.log,"{""is_click"": {""AUC"": 0.794759, ""logloss"": 0.525008}, ""is_comment"": {""AUC"": 0.891848, ""logloss"": 0.014913}, ""is_follow"": {""AUC"": 0.880471, ""logloss"": 0.006296}, ""is_forward"": {""AUC"": 0.860017, ""logloss"": 0.005742}, ""is_like"": {""AUC"": 0.927324, ""logloss"": 0.053812}, ""long_view"": {""AUC"": 0.81142, ""logloss"": 0.44283}}"
